Instance,n,m,c,variables,soft,Constraints,Peak,Status,Time,


MERTENS,7,6,6,39706,114,79047,164,Optima,0.1941,
MERTENS,7,2,18,5307,22,11182,54,Optima,0.03052,
BOWMAN,8,5,20,209912,145,417821,146,Optima,1.36297,
JAESCHKE,9,8,6,55234,133,109828,173,Optima,0.32493,
JAESCHKE,9,3,18,11425,32,23832,47,Optima,0.08231,
JACKSON,11,8,7,77979,144,155891,166,Optima,0.58569,
JACKSON,11,3,21,14158,30,31485,57,Optima,0.17227,
MANSOOR,11,4,48,217132,91,437025,111,Optima,1.45181,
MANSOOR,11,2,94,43106,25,103709,71,Optima,0.48462,
MITCHELL,21,8,14,322736,201,646197,225,Optima,6.22413,
MITCHELL,21,3,39,165781,78,345129,84,Optima,2.43132,
ROSZIEG,25,10,14,473070,242,959307,242,Optima,21.68123,
ROSZIEG,25,6,25,393038,159,805979,135,Optima,72.3306,
ROSZIEG,25,4,32,185648,89,392208,118,Optima,5.70896,
HESKIA,28,8,138,4585143,238,9515733,229,Optima,1639.39317,
HESKIA,28,5,205,2434526,134,5277866,156,Optima,558.24766,
HESKIA,28,3,342,1609646,77,3814071,97,Optima,539.05517,
BUXEY,29,14,25,1239759,293,2529724,315,Optima,259.14763,
BUXEY,29,11,33,1170435,244,2400971,238,Optima,1447.74517,
BUXEY,29,8,41,876440,184,1821942,194,Optima,174.39295,
BUXEY,29,7,47,855982,168,1777025,184,Optima,25.90065,
SAWYER,30,14,25,1943638,373,3952382,358,Optima,44.93619,
SAWYER,30,12,30,?,0,0,?,timeout,3600.24512,
SAWYER,30,12,30,911178,223,1905152,229,Optimal,1137.926117658615,
SAWYER,30,8,41,977094,196,2039903,210,Optima,609.31047,
SAWYER,30,7,47,915799,175,1914909,192,Optima,32.82959,
GUNTHER,35,14,40,3334761,383,6806040,406,Optima,35.26985,
GUNTHER,35,9,54,2269485,264,4692731,276,Optima,127.10815,
GUNTHER,35,9,61,?,0,0,<=236,timeout,>=3600.0,
GUNTHER,35,9,61,1115782,163,2449291,156,Optimal,3169.627674341202,
GUNTHER1,35,9,61,1885844,222,3985513,211,Optimal,5609.012471675873,
GUNTHER2,35,9,61,1124018,164,2465640,157,Optimal,4907.897191762924,
GUNTHER3,35,9,61,1820145,220,3854422,219,Optimal,1279.398381471634,
GUNTHER4,35,9,61,3145263,296,6500251,270,Optimal,2567.336391687393,
GUNTHER5,35,9,61,2341666,252,4895419,233,Optimal,2164.25373339653,
GUNTHER6,35,9,61,1792570,217,3799397,225,Optimal,21622.03796339035,
GUNTHER7,35,9,61,1413853,188,3043700,195,Optimal,4704.488335609436,
GUNTHER8,35,9,61,1305143,180,2826776,187,Optimal,6073.242455244064,
GUNTHER9,35,9,61,2604408,267,5420217,261,Optimal,14610.045493364334,
WARNECKE,58,25,65,2057046,739,4797198,721,Optima,2923.31875,
HESKIA,28,3,342,1609646,77,3814071,97,Optimal,948.5944101810455

ROSZIEG,25,10,14,473070,242,959307,242,Optimal,33.43458867073059
ROSZIEG,25,4,32,185648,89,392208,118,Optimal,10.286599159240723
ROSZIEG,25,6,25,393038,159,805979,135,Optimal,134.2484519481659
HESKIA,28,3,342,1609646,77,3814071,97,Optimal,935.7709777355194
HESKIA,28,5,205,2434526,134,5277866,156,Optimal,1022.9600234031677HESKIA,
HESKIA,28,3,342,1609646,77,3814071,97,Optimal,1034.32932138443
HESKIA,28,5,205,2434526,134,5277866,156,Optimal,1102.3831241130829
