Instance,n,m,c,Variables,Constraints,Peak_Power,Solutions,Best_Solutions,Status,Time
MERTENS,7,6,6,126,738,106,2,1,Optimal,0.00394
MERTENS,7,2,18,266,2495,36,7,4,Optimal,0.01077
BOWMAN,8,5,20,360,2387,89,11,10,Optimal,0.00632
JAESCHKE,9,8,6,180,614,135,2,1,Optimal,0.00100
JAESCHKE,9,3,18,351,3639,39,14,13,Optimal,0.01432
JACKSON,11,8,7,242,1688,152,4,3,Optimal,0.00266
JACKSON,11,3,21,495,8261,52,37,29,Optimal,0.13580
MANSOOR,11,4,48,1100,21752,100,4,3,Optimal,0.05636
MANSOOR,11,2,94,2090,65276,61,4,1,Optimal,0.16369
MITCHELL,21,8,14,756,7035,156,87,47,Optimal,0.06805
MITCHELL,21,3,39,1701,40950,58,91,78,Optimal,2.46804
ROSZIEG,25,10,14,950,23785,196,760,588,Optimal,0.83093
ROSZIEG,25,6,25,1400,45585,109,2067,1258,Optimal,193.17145
ROSZIEG,25,4,32,1700,50794,95,70,67,Optimal,1.14169
HESKIA,28,8,138,7952,1167737,158,4891,3534,Optimal,1694.58363
HESKIA,28,5,205,11620,1866343,109,904,674,Optimal,3618.29588
HESKIA,28,3,342,19236,3942074,69,159,142,Optimal,3608.33556
BUXEY,29,14,25,1856,86319,269,10,9,Optimal,0.13018
BUXEY,29,11,33,2233,118725,180,22948,16357,Optimal,3599.60779
BUXEY,29,8,41,2610,152309,148,3137,1428,Optimal,143.94587
BUXEY,29,7,47,2929,160594,141,36,28,Optimal,7.38590
SAWYER,30,14,25,1920,104935,282,21069,107,Optimal,2079.65919
SAWYER,30,12,30,2160,135740,230,36734,13425,Optimal,3601.67261
SAWYER,30,8,41,2700,172384,168,14042,12118,Optimal,3599.28836
SAWYER,30,7,47,3030,186381,158,53,25,Optimal,17.41535
GUNTHER,35,14,40,3290,258801,267,4,3,Optimal,0.30838
GUNTHER,35,9,54,4095,348773,190,166,98,Optimal,1.63524
GUNTHER,35,9,61,4585,509781,156,19105,11883,Optimal,3601.52586
WARNECKE,58,25,65,8990,1777736,503,13566,4697,Optimal,3610.61012
